Category,Message
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 8138
ham,What time does the movie start tonight? (Ref: 312)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 649)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 791)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 884)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 966)"
ham,Let's catch up over coffee this weekend. (Ref: 636)
ham,Can you please send me the updated project report when you get a chance? (Ref: 639)
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 1329
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 7852
ham,Please find attached the receipt for your recent purchase. (Ref: 840)
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 8715
ham,Don't forget to submit the assignment before midnight. (Ref: 671)
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 8437
ham,"Just checked the code changes, everything looks good to merge. (Ref: 982)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 824)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 918)"
ham,Let's catch up over coffee this weekend. (Ref: 257)
ham,Let's catch up over coffee this weekend. (Ref: 666)
ham,Don't forget to submit the assignment before midnight. (Ref: 589)
ham,Can you please send me the updated project report when you get a chance? (Ref: 489)
ham,Thanks for your help with the presentation yesterday! (Ref: 420)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 927)
ham,Don't forget to submit the assignment before midnight. (Ref: 929)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 8980
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 2165
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 3679
ham,Please find attached the receipt for your recent purchase. (Ref: 927)
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 7981
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 479)"
ham,Don't forget to submit the assignment before midnight. (Ref: 428)
ham,Call me when you are free to discuss the budget allocation. (Ref: 919)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 1294
ham,Thanks for your help with the presentation yesterday! (Ref: 540)
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 5876
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 900)
ham,What time does the movie start tonight? (Ref: 936)
ham,What time does the movie start tonight? (Ref: 258)
ham,Let's catch up over coffee this weekend. (Ref: 592)
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 8686
ham,Don't forget to submit the assignment before midnight. (Ref: 617)
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 1951
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 335)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 433)
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 5090
ham,Can you please send me the updated project report when you get a chance? (Ref: 395)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 319)"
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 196)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 424)"
ham,Thanks for your help with the presentation yesterday! (Ref: 901)
ham,Please find attached the receipt for your recent purchase. (Ref: 798)
ham,Don't forget to submit the assignment before midnight. (Ref: 122)
ham,Could you pick up some groceries on your way back from work? (Ref: 447)
spam,Free entry in 2 a wk weekly competition to win $500 cash! Text WIN to 80082 today. Code: 2265
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 784)"
ham,Thanks for your help with the presentation yesterday! (Ref: 495)
ham,Call me when you are free to discuss the budget allocation. (Ref: 953)
ham,Could you pick up some groceries on your way back from work? (Ref: 441)
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 2409
ham,Can you please send me the updated project report when you get a chance? (Ref: 920)
ham,What time does the movie start tonight? (Ref: 217)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 625)
ham,Please find attached the receipt for your recent purchase. (Ref: 792)
ham,Don't forget to submit the assignment before midnight. (Ref: 549)
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 5150
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 484)"
ham,Please find attached the receipt for your recent purchase. (Ref: 378)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 175)"
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 1892
ham,Can you please send me the updated project report when you get a chance? (Ref: 309)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 1954
spam,Earn $5000 a week working from home with zero experience needed! Click link to start Code: 1645
ham,What time does the movie start tonight? (Ref: 671)
ham,Let's catch up over coffee this weekend. (Ref: 982)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 611)"
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 550)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 134)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 383)"
ham,What time does the movie start tonight? (Ref: 421)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 827)"
ham,Call me when you are free to discuss the budget allocation. (Ref: 120)
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 294)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 941)"
ham,Could you pick up some groceries on your way back from work? (Ref: 903)
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 4067
ham,Thanks for your help with the presentation yesterday! (Ref: 381)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 362)"
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 9173
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 990)"
spam,Earn $5000 a week working from home with zero experience needed! Click link to start Code: 8184
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 228)
ham,What time does the movie start tonight? (Ref: 515)
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 8878
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 9041
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 395)"
ham,Please find attached the receipt for your recent purchase. (Ref: 598)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 509)"
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 499)"
spam,Free entry in 2 a wk weekly competition to win $500 cash! Text WIN to 80082 today. Code: 3032
ham,Thanks for your help with the presentation yesterday! (Ref: 391)
ham,Thanks for your help with the presentation yesterday! (Ref: 388)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 712)"
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 3403
ham,Let's catch up over coffee this weekend. (Ref: 261)
spam,You have 1 unread urgent voice message. Call 08712400657 to retrieve your audio note now. Code: 5278
ham,"Just checked the code changes, everything looks good to merge. (Ref: 171)"
ham,Don't forget to submit the assignment before midnight. (Ref: 937)
ham,Can you please send me the updated project report when you get a chance? (Ref: 195)
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 5346
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 766)"
ham,Please find attached the receipt for your recent purchase. (Ref: 860)
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 7353
ham,Don't forget to submit the assignment before midnight. (Ref: 813)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 982)"
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 341)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 487)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 971)"
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 3139
ham,Thanks for your help with the presentation yesterday! (Ref: 260)
ham,Call me when you are free to discuss the budget allocation. (Ref: 948)
ham,Please find attached the receipt for your recent purchase. (Ref: 120)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 537)"
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 265)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 5177
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 833)"
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 430)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 146)
ham,Call me when you are free to discuss the budget allocation. (Ref: 506)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 868)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 195)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 838)"
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 9073
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 8970
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 1130
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 610)"
ham,"Just checked the code changes, everything looks good to merge. (Ref: 712)"
ham,Don't forget to submit the assignment before midnight. (Ref: 896)
spam,Free entry in 2 a wk weekly competition to win $500 cash! Text WIN to 80082 today. Code: 1145
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 5805
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 314)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 396)
ham,Did you see the latest news update regarding the project policy? (Ref: 276)
ham,Call me when you are free to discuss the budget allocation. (Ref: 848)
ham,Let's catch up over coffee this weekend. (Ref: 719)
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 897)
spam,Earn $5000 a week working from home with zero experience needed! Click link to start Code: 8982
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 2308
ham,Did you see the latest news update regarding the project policy? (Ref: 733)
ham,Could you pick up some groceries on your way back from work? (Ref: 753)
ham,Don't forget to submit the assignment before midnight. (Ref: 262)
ham,Can you please send me the updated project report when you get a chance? (Ref: 447)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 748)"
spam,FINAL NOTICE: Your bank account has been locked. Verify your credentials now at http://secure-bank-login.com Code: 1920
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 982)"
ham,Let's catch up over coffee this weekend. (Ref: 951)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 230)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 234)
ham,What time does the movie start tonight? (Ref: 602)
ham,What time does the movie start tonight? (Ref: 646)
spam,Earn $5000 a week working from home with zero experience needed! Click link to start Code: 6954
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 332)"
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 5242
ham,"Just checked the code changes, everything looks good to merge. (Ref: 345)"
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 371)"
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 615)"
ham,"Just checked the code changes, everything looks good to merge. (Ref: 495)"
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 695)"
ham,Did you see the latest news update regarding the project policy? (Ref: 244)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 227)"
spam,FINAL NOTICE: Your bank account has been locked. Verify your credentials now at http://secure-bank-login.com Code: 6370
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 2218
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 3198
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 723)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 323)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 276)"
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 953)
spam,FINAL NOTICE: Your bank account has been locked. Verify your credentials now at http://secure-bank-login.com Code: 8214
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 758)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 472)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 502)"
ham,Don't forget to submit the assignment before midnight. (Ref: 565)
ham,Let's catch up over coffee this weekend. (Ref: 472)
ham,Could you pick up some groceries on your way back from work? (Ref: 182)
ham,Let's catch up over coffee this weekend. (Ref: 784)
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 5873
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 8291
ham,Could you pick up some groceries on your way back from work? (Ref: 875)
ham,Did you see the latest news update regarding the project policy? (Ref: 291)
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 2796
ham,Please find attached the receipt for your recent purchase. (Ref: 765)
ham,Could you pick up some groceries on your way back from work? (Ref: 524)
ham,Did you see the latest news update regarding the project policy? (Ref: 860)
ham,Call me when you are free to discuss the budget allocation. (Ref: 185)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 854)"
ham,"Just checked the code changes, everything looks good to merge. (Ref: 601)"
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 352)"
ham,Can you please send me the updated project report when you get a chance? (Ref: 892)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 835)"
ham,Did you see the latest news update regarding the project policy? (Ref: 477)
ham,"I'll be home late tonight, don't wait up for dinner. (Ref: 291)"
ham,Don't forget to submit the assignment before midnight. (Ref: 198)
ham,Can you please send me the updated project report when you get a chance? (Ref: 297)
ham,Let's catch up over coffee this weekend. (Ref: 317)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 631)"
spam,Exclusive offer: Get 90% off on designer watches and sunglasses today only! Visit http://cheap-luxury.shop Code: 9038
ham,"Just checked the code changes, everything looks good to merge. (Ref: 534)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 519)
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 100)"
ham,Thanks for your help with the presentation yesterday! (Ref: 110)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 212)"
ham,Please find attached the receipt for your recent purchase. (Ref: 146)
ham,Thanks for your help with the presentation yesterday! (Ref: 322)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 559)"
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 239)"
ham,Call me when you are free to discuss the budget allocation. (Ref: 535)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 435)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 194)"
ham,Could you pick up some groceries on your way back from work? (Ref: 145)
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 2750
ham,Did you see the latest news update regarding the project policy? (Ref: 473)
ham,Did you see the latest news update regarding the project policy? (Ref: 744)
ham,Let's catch up over coffee this weekend. (Ref: 281)
ham,Don't forget to submit the assignment before midnight. (Ref: 136)
ham,Thanks for your help with the presentation yesterday! (Ref: 212)
ham,Don't forget to submit the assignment before midnight. (Ref: 521)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 216)
ham,Did you see the latest news update regarding the project policy? (Ref: 220)
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 4241
ham,Could you pick up some groceries on your way back from work? (Ref: 653)
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 8312
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 519)
ham,Let's catch up over coffee this weekend. (Ref: 205)
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 3983
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 491)"
ham,Please find attached the receipt for your recent purchase. (Ref: 803)
ham,Don't forget to submit the assignment before midnight. (Ref: 724)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 193)"
ham,Did you see the latest news update regarding the project policy? (Ref: 248)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 941)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 222)
ham,Please find attached the receipt for your recent purchase. (Ref: 928)
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 372)
ham,Let's catch up over coffee this weekend. (Ref: 665)
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 823)
ham,Did you see the latest news update regarding the project policy? (Ref: 397)
ham,Don't forget to submit the assignment before midnight. (Ref: 918)
spam,ALERT: Your package delivery is pending due to unpaid customs fee of $2.99. Pay now at http://track-package-delivery.info Code: 6232
ham,Thanks for your help with the presentation yesterday! (Ref: 900)
ham,What time does the movie start tonight? (Ref: 618)
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 7122
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 101)"
ham,Please find attached the receipt for your recent purchase. (Ref: 229)
ham,Let's catch up over coffee this weekend. (Ref: 829)
ham,"Just checked the code changes, everything looks good to merge. (Ref: 108)"
ham,"Just checked the code changes, everything looks good to merge. (Ref: 558)"
ham,The team meeting has been rescheduled to Thursday at 10 AM. (Ref: 902)
ham,What time does the movie start tonight? (Ref: 870)
ham,Call me when you are free to discuss the budget allocation. (Ref: 140)
spam,Earn $5000 a week working from home with zero experience needed! Click link to start Code: 5361
spam,URGENT! You have won a $1000 Walmart gift card! Claim now at http://bit.ly/claim-prize Code: 4186
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 492)
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 866)"
spam,Hot singles in your area are waiting for you! Click here to chat now completely free. Code: 7612
ham,Did you see the latest news update regarding the project policy? (Ref: 953)
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 448)
spam,"Get loan up to $50,000 with 0% interest instantly! No credit check required. Reply APPLY Code: 8486"
ham,"Just checked the code changes, everything looks good to merge. (Ref: 924)"
ham,Happy birthday! Hope you have a wonderful day ahead. (Ref: 180)
spam,Free entry in 2 a wk weekly competition to win $500 cash! Text WIN to 80082 today. Code: 2040
spam,Congratulations! You are selected for a free iPhone 15 Pro. Reply WIN to claim immediately. Code: 6797
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 572)"
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 180)"
ham,"Hey, are we still meeting for lunch today at 1 pm? (Ref: 217)"
ham,Thanks for your help with the presentation yesterday! (Ref: 897)
ham,Please find attached the receipt for your recent purchase. (Ref: 245)
ham,Please find attached the receipt for your recent purchase. (Ref: 437)
ham,Call me when you are free to discuss the budget allocation. (Ref: 190)
ham,Let's catch up over coffee this weekend. (Ref: 775)
spam,Double your Bitcoin in 24 hours! Guaranteed returns on crypto investment. Deposit now. Code: 5757
spam,WINNER! Guarantee 1000 cash or $2000 gift certificate. Call 09061701461 to claim your reward. Code: 6043
ham,"I'm stuck in traffic, will be there in about 15 minutes. (Ref: 662)"
ham,Could you pick up some groceries on your way back from work? (Ref: 162)
